,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h"
204601,-17.0,4083.0,5290.0,0.6241919049381881,0.0436530130037034,0.0996100976317243,0.0950267399117924,0.1181744812623758,0.0121367631016025,0.0072070001506131,3301.975177123015,230.924438789591,526.9374164718216,502.6914541333818,625.143005877968,64.20347680747723,38.125030796743296,2.7271677712650733,90.20478198059946
559804,-2.0,4410.0,7063.0,0.6549534044005819,0.1533621272998677,0.1134991974938567,0.0438100410804544,0.014343562322021,0.0134040594825577,0.0066276079206606,4625.93589528131,1083.1967051189656,801.6448318991099,309.4303201512494,101.30858068043433,94.67287212530503,46.81079474362581,0.1899024638890215,141.85982730014058
596430,-17.0,3800.0,27640.0,0.4840502250882847,0.1440864221232237,0.130956952723324,0.1322027031514747,0.0906986656902042,0.0134068573868322,0.004598173836656,13379.14822144019,3982.548707485903,3619.650173272675,3654.0827151067606,2506.911119677244,370.565538172042,127.09352484517184,20.723475219629595,403.2591193309089
127544,-8.0,4530.0,21660.0,0.469824766305258,0.1125388876303728,0.0796428101106845,0.0844111921263306,0.2386866126511489,0.003801723985556,0.0110940071906489,10176.404438171889,2437.5923060738746,1725.0632669974261,1828.3464214563207,5169.9520300238855,82.34534152714296,240.2961957494552,18.13602896500951,253.8140864459744
608325,2.0,4639.0,28726.0,0.3721329355841686,0.1048275946462366,0.089683597515397,0.1882953777157904,0.2207895461166591,0.0082067879293382,0.0160641604924098,10689.890707590826,3011.2774838077926,2576.2510222272945,5408.973020263796,6342.400501747149,235.74819005816914,461.45907430496396,30.9249821000084,264.5928014017263
314121,-15.0,4563.0,20115.0,0.668112288043324,0.0655291026070301,0.1159633478491455,0.0374854503674862,0.0854338082635853,0.0153005686167922,0.0121754342526362,13439.078673991462,1318.1178989404104,2332.602741985562,754.0198341419849,1718.5010532220185,307.7709377267751,244.90885999177718,7.139337992853332,332.7128496845642
289956,-24.0,4639.0,15791.0,0.382718058096835,0.118403439774344,0.1020100825694969,0.1016885719813835,0.2709913265991208,0.0164675238618273,0.007720997116992,6043.500855407122,1869.7087174766662,1610.8412138549254,1605.7642401580267,4279.224038326716,260.03866930211484,121.92226547442067,20.015601406129697,107.76578243738255
4072,-7.0,4741.0,8783.0,0.6062571857888764,0.1986901399734433,0.0591810061506239,0.0510683828577085,0.055504695513998,0.0138424277859669,0.0154561619293825,5324.756862783702,1745.0954993867526,519.7867770209297,448.5336066392537,487.4977406994444,121.57804324414728,135.7514702257665,2.09941486670772,142.3190565160879
141279,4.0,4038.0,29838.000000000004,0.3752022673544866,0.1871440986507935,0.0291024549084971,0.0297118220736052,0.348203850226581,0.01430584901942,0.0163296577666163,11195.285253323173,5584.005615542377,868.3590495597366,886.5413470322321,10389.706483060725,426.857923041454,487.2443284402972,26.519783488726283,370.8631842935279
66974,-16.0,4109.0,6471.0,0.5243606380446724,0.1270897886058167,0.0244797515621821,0.1252408837844322,0.1843319955400833,0.008862519717975,0.0056344227448381,3393.1376887870747,822.3980220682399,158.40847235888037,810.4337589690608,1192.8123431398792,57.349365095016225,36.460349581847346,4.535184507362708,92.75363703017295
527711,9.0,4867.0,27913.0,0.4522754050519315,0.1478300094655039,0.0709691554126557,0.175263025755168,0.1339665649931874,0.0080888546662397,0.0116069846553136,12624.363381214564,4126.37905421061,1980.9620350334583,4892.116837904005,3739.40872865484,225.78420029874874,323.9857626837685,18.750595599382088,344.46124793743115
94462,-5.0,3792.0,8578.0,0.3801081104559174,0.1703844114162364,0.0908562868567635,0.2731445677431307,0.0578572427873805,0.0106126574683622,0.0170367232722091,3260.5673714908594,1461.5574811284757,779.3652286573173,2343.0341021005747,496.2994286301499,91.03537576361096,146.14101222900965,7.958614833110611,107.43029932373604
