,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h","1 actual vapour flow, m3/h"
81273,6.0,4551.0,28173.0,0.5477553083282821,0.17479802073391,0.0399767130526094,0.0728549577904673,0.1266001426697911,0.0187680150774062,0.0192468423475335,15431.910301532693,4924.584638136446,1126.2639368311645,2052.5427258308355,3566.7058194360247,528.7512887757648,542.2412894570613,9.70572893126973,470.8400095090525,470.8400095090525
216765,-2.0,4267.0,16557.0,0.4228365259722117,0.1406785325753976,0.0942093653641298,0.0545600109434327,0.2766698215077522,0.0055659817124746,0.0054797619246012,7000.904360521909,2329.2144638508585,1559.8244623338971,903.3501011904152,4580.822234703854,92.15595921344196,90.72841818562206,14.264083739359265,201.03334260047487,201.03334260047487
8106,-21.0,3883.0,17931.0,0.4818323809339059,0.1345896917532515,0.079781854888829,0.083556803732402,0.2010887156791792,0.0068859596018109,0.0122645934106211,8639.736422525866,2413.3277628275528,1430.5684400115927,1498.2570477257002,3605.721760843362,123.47214162007126,219.91642444584696,14.856418923401693,239.07559212038623,239.07559212038623
79840,-7.0,4737.0,8610.0,0.3902723904484461,0.1350158937250695,0.1118934206101153,0.2442553442505688,0.0986902795814363,0.0133031487202037,0.0065695226641601,3360.2452817611206,1162.4868449728483,963.4023514530927,2103.0385139973973,849.7233071961665,114.54011048095386,56.563590138418455,9.408278722710984,74.9252966258091,74.9252966258091
72967,-15.0,4246.0,25119.0,0.4011504136522871,0.0792090322368739,0.0349638377558153,0.0951510090801122,0.3617910097918048,0.0161232096018003,0.0116114878813062,10076.4972405318,1989.6516807580354,878.2566405883244,2390.0981970833386,9087.828374960345,404.99890198762176,291.66896409053044,27.4234720504938,238.45600995104712,238.45600995104712
476291,5.0,4017.0,27592.0,0.4634355778824416,0.1473941219369764,0.0862630119952727,0.0238482106767621,0.2656266077629947,0.0052940116649545,0.0081384580805974,12787.114464932329,4066.898612485053,2380.169026973564,658.0198289932198,7329.169361396549,146.07236985942455,224.55633535984344,16.965384133880193,438.80847160297,438.80847160297
178544,1.0,4087.0,6726.0,0.626633042460185,0.0846898575605233,0.0848877133188284,0.0654417949160924,0.1225371903616169,0.0103497295367367,0.0054606718460171,4214.733843587204,569.6239819520797,570.9547597824399,440.1615126056374,824.1851423722352,69.61228086409105,36.72847883631102,1.76395369527419,137.066311242334,137.066311242334
280038,4.0,4587.0,29699.000000000004,0.4506168217474996,0.151046740781155,0.0790919740441954,0.1151185700821735,0.1917796334047172,0.0058638631758378,0.0064823967644212,13382.868989078992,4485.937154459522,2348.95253713856,3418.906412870471,5695.663332486697,174.15087245920682,192.52070150654524,21.217071989147527,377.81550345803305,377.81550345803305
518742,6.0,4225.0,10507.0,0.5704192810768541,0.033895259080002,0.0718824726992069,0.2889060132456403,0.024153619490615,0.0046625530464818,0.0060808013611995,5993.395386274507,356.13748715358105,755.2691406505669,3035.5354811719426,253.78207998789182,48.98944485938427,63.89097990212315,4.570769509530129,186.2003523895404,186.2003523895404
462463,-3.0,4204.0,6930.0,0.4514924452819175,0.1755126331229583,0.0494520288584248,0.0795448793661318,0.2314730506009365,0.0075606875333836,0.0049642752362473,3128.8426458036884,1216.3025475421011,342.7025599888839,551.2460140072934,1604.10824066449,52.39556460634835,34.40242738719379,5.075245848748026,94.31794720843776,94.31794720843776
228800,-8.0,4754.0,13521.0,0.5025735464032931,0.1030129355632362,0.0733421745433142,0.2206989108398163,0.0832294335324779,0.0081661801142728,0.0089768190035892,6795.296920918926,1392.8379017505165,991.6595420001512,2984.069973465156,1125.3451707926338,110.41492132508253,121.37556974752958,10.291833013203313,160.34179091642255,160.34179091642255
18237,-9.0,4148.0,8993.0,0.4149673248821154,0.1917350912056058,0.0422804991755401,0.0808093351268575,0.2602370126200098,0.0035971685065361,0.006373568483335,3731.801152664864,1724.2736752120131,380.22852908563215,726.7183507958296,2340.311454491748,32.349336379279144,57.31750137063165,8.049861840052934,106.1518752794216,106.1518752794216
188998,2.0,3765.0,16067.999999999998,0.5566403507265335,0.0986605403014383,0.0381192006525221,0.1271848513722983,0.1610038033940579,0.0149685056589543,0.0034227478941953,8944.097155473939,1585.2775615635103,612.499316084725,2043.6061918500886,2587.009112935722,240.51394892807767,54.996713163930075,7.113769394847176,319.9264126915263,319.9264126915263
299209,-8.0,4039.0,8044.999999999999,0.5001582794819469,0.1366159235325262,0.0298305491864705,0.1374918767676504,0.1833153398655928,0.0051313614635694,0.0074566697022435,4023.7733584322623,1099.075104819173,239.98676820515516,1106.1221485957474,1474.771909218694,41.28180297441582,59.988907754548954,5.435707831243183,121.220575502204,121.22057550220396
574501,-1.0,4683.0,13791.0,0.636204434948489,0.1688386343678493,0.0884805067055646,0.0689310259440907,0.0131330440419741,0.0188465772774845,0.0055657767145475,8773.895362374611,2328.4536065670095,1220.2346679764414,950.6277787949549,181.1178103828648,259.9131472337887,76.75762667032457,1.0060053696067923,251.28506129865644,251.28506129865644
430821,-15.0,3875.0,29830.0,0.6153272613080184,0.129923526942028,0.0652741756730533,0.1048011466265204,0.0657341152089398,0.0106736323782029,0.0082661418632372,18355.21220481819,3875.618808680695,1947.12866032718,3126.2182038691035,1960.8486566826743,318.39445384179254,246.57901178036568,11.162640226555435,572.245682536541,572.245682536541
588138,-19.0,3907.0,11549.0,0.4237940549265843,0.1469481875212017,0.0187795411535517,0.1319363666145354,0.2628134646569818,0.0097232000609711,0.0060051850661737,4894.397540347122,1697.1046176823584,216.88492078236857,1523.7330980312693,3035.232703323483,112.29323750415523,69.35388232924007,11.27564484452325,132.54728971207214,132.54728971207217
392690,-2.0,3957.0,6929.0,0.4171631757596803,0.1464846604466462,0.0472413582301476,0.1247369144879183,0.2498925857661284,0.0096224969247574,0.0048588083847216,2890.523644838825,1014.9922122348116,327.3353711766927,864.3020804867858,1731.5057267735037,66.67428119164403,33.666683297735965,5.865496291027563,92.10724797528538,92.10724797528538
320815,-18.0,4775.0,25850.0,0.3936128987720609,0.0357076680462703,0.0967599684353188,0.147088879991619,0.2929265670621226,0.0159585787753652,0.0179454389172428,10174.893433257774,923.0432189960871,2501.2451840529907,3802.247547783351,7572.1517585558695,412.5292613431904,463.8895960107264,31.47102680889718,186.59935335462905,186.599353354629
184076,-15.0,4256.0,14376.0,0.4997522302336499,0.1550704143634133,0.0444487937627637,0.0344186393106623,0.2410568985527573,0.0186428953102593,0.0066101284664941,7184.4380618389505,2229.2922768884296,638.995859133491,494.80235873008127,3465.433973594439,268.0102629802877,95.02720683431919,10.645563110798353,189.89130783035617,189.89130783035617
457649,-5.0,4621.0,12634.0,0.5950278376898728,0.1487887077842194,0.0299326358313778,0.1019540719268205,0.0965561645586255,0.0126837049453042,0.0150568772637796,7517.581701373852,1879.796534145828,378.1689210936271,1288.0877447234502,1219.8905830336746,160.24592827897325,190.22858735059148,4.748676501613431,203.0658556671816,203.0658556671816
517968,-13.0,3792.0,18955.0,0.483608116922287,0.0561366212272363,0.0399785100882656,0.1709369376124705,0.2379802806578633,0.0070183016736117,0.0043412318182654,9166.79185626195,1064.069655362264,757.7926587230744,3240.1096524443783,4510.916219869799,133.03190822330976,82.28804911522066,15.929792198345757,270.5816386203809,270.5816386203809
507114,-7.0,3714.0,17929.0,0.5633411159860646,0.0982449324523483,0.1336641990059872,0.1273740303446641,0.0553055895536815,0.0051068382057785,0.0169632944514756,10100.142868514153,1761.4333939381527,2396.4654239783445,2283.6889900494825,991.5739151079556,91.56050219140272,304.134906220506,7.822143366464541,348.7548347073502,348.7548347073502
612416,10.0,4872.0,16017.0,0.4018031558847772,0.084242530484176,0.1056734522586711,0.1392415043026027,0.2514004679969994,0.0113520247215941,0.0062868643511795,6435.6811478064765,1349.312610765047,1692.571684827135,2230.231174414788,4026.6812959079393,181.8253799657727,100.69670631284205,15.129675162082528,163.15327945896018,163.15327945896018
379739,9.0,3899.0,10882.0,0.4931461689201562,0.1458079829657869,0.063263238827344,0.1923264639496235,0.0887979156243611,0.009043894804766,0.0076143349079621,5366.41661018914,1586.6824706336931,688.4305649191574,2092.896580699803,966.2989178242974,98.41566326546362,82.85919246844357,4.612873599284479,201.0781095686001,201.0781095686001
404028,10.0,4610.0,13889.0,0.4358979997198697,0.1281919249567511,0.0579373472205181,0.0650658935194392,0.2930090318650539,0.0114286113524881,0.0084691913658797,6054.187318109271,1780.457645724316,804.6918155457759,903.7001950914911,4069.6024435737336,158.73198307470722,117.62859888070317,10.516980798135174,174.48868283266356,174.48868283266356
276271,-2.0,4151.0,26103.0,0.5313226405985916,0.1706324540769012,0.0515999330483748,0.1402268816442337,0.0864746197512163,0.0065135412499239,0.0132299296307585,13869.114887545036,4454.0189487693515,1346.9130523617273,3660.342291559432,2257.2469993659993,170.02296724676356,345.34085315168915,11.459860586901309,444.1729566696665,444.1729566696665
386562,-3.0,4637.0,12760.0,0.4763915614135866,0.1836479932261613,0.0316268689746838,0.2683261936075756,0.0294314239786772,0.0038231546560716,0.0067528041432437,6078.756323637364,2343.3483935658182,403.5588481169653,3423.8422304326646,375.5449699679211,48.783453411473616,86.1657808677896,8.45519233291553,162.56177629123323,162.56177629123323
155423,-9.0,3516.0,10077.0,0.5972749732787526,0.1121609020074022,0.0831459784733034,0.1754201551364061,0.012526747925704,0.0070850959164756,0.0123861472619558,6018.73990572999,1130.2454095285918,837.8620250754784,1767.7089033095642,126.23203884731922,71.39651155032462,124.81520595872858,3.391123934585003,221.7306327880866,221.7306327880866
414400,-6.0,3762.0,13208.0,0.5193035182311255,0.0749118214866094,0.1076958126103385,0.1578338616461115,0.1188304981053207,0.0107330150691721,0.0106914728513222,6858.960868796706,989.4353381951369,1422.446292957351,2084.6696446218407,1569.513218975076,141.7616630336251,141.21297342026364,8.278199041364834,226.22709176988388,226.22709176988383
512756,-17.0,4358.0,21676.0,0.5810902569686398,0.0565560732366514,0.0379869324211191,0.2224269769015104,0.0893818903898513,0.0063738052674265,0.0061840648148012,12595.712410052236,1225.9094434776557,823.4047471601776,4821.327151317139,1937.4418560904166,138.1586029767368,134.0457889256308,14.128622130295089,310.55716816960154,310.55716816960154
