,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h","2 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac
168894,32.0,4359.0,16366.0,0.5586588761823137,0.1622969144369593,0.0526159513788599,0.1521683917890158,0.0329206693295089,0.0204153487199162,0.0209238481634259,16366.0,0.0,0.5586588761823137,0.1622969144369593,0.0526159513788599,0.1521683917890158,0.0329206693295089,0.0204153487199162,0.0209238481634259
534275,15.0,4381.0,20805.0,0.7844633632301427,0.0755062939288584,0.0464177532032709,0.0441886156097107,0.0047389581375709,0.0268938351472465,0.0177911807431996,20805.0,0.0,0.7844633632301427,0.0755062939288584,0.0464177532032709,0.0441886156097107,0.0047389581375709,0.0268938351472465,0.0177911807431996
77535,13.0,4841.0,16710.0,0.6086307939582213,0.0782848754783914,0.1493545716054833,0.1048718058007289,0.0334296736825246,0.0155401283840408,0.0098881510906093,15873.719023659633,836.280976340366,0.635572382381176,0.0798790105665275,0.1446731650316916,0.0937690764333936,0.0285143436405799,0.0110865229620641,0.0065054989845672
560479,1.0,3932.0,8815.0,0.7401439477433926,0.1400959191939628,0.0399277615133659,0.0423294256265754,0.0259752410835423,0.0055864738833084,0.005941230955852,8815.0,0.0,0.7401439477433926,0.1400959191939628,0.0399277615133659,0.0423294256265754,0.0259752410835423,0.0055864738833084,0.005941230955852
560021,-17.0,4845.0,2776.0,0.663201476530311,0.1066325413524134,0.0937021141653629,0.1129876968820049,0.0084447672245922,0.0087327918303916,0.0062986120149238,2351.1459342660964,424.8540657339033,0.7563815300386362,0.1072250092608777,0.0708857863962839,0.0586523430380094,0.0035978198230015,0.0020737680770187,0.0011837433661723
271943,29.0,4034.0,1021.0,0.5419892363538934,0.1772161430570429,0.132807607732725,0.0864351432626077,0.0372266191305912,0.0108445857498951,0.0134806647132446,1021.0,0.0,0.5419892363538934,0.1772161430570429,0.132807607732725,0.0864351432626077,0.0372266191305912,0.0108445857498951,0.0134806647132446
306281,-21.0,4235.0,9533.0,0.8346545857048164,0.0408588390316836,0.0565804002932362,0.0429638095267266,0.0051079277819327,0.0141682038022555,0.0056662338593488,9328.82161013904,204.17838986096024,0.8504444933061565,0.0410317637584603,0.0542733576224439,0.0377207670618689,0.0042159350540112,0.0091211280197497,0.0031925551773092
99592,17.0,4235.0,5493.0,0.7084058643514028,0.0375202018631304,0.0884474466804927,0.1340388544930526,0.0042132740176717,0.017418172241872,0.0099561863523774,5493.0,0.0,0.7084058643514028,0.0375202018631304,0.0884474466804927,0.1340388544930526,0.0042132740176717,0.017418172241872,0.0099561863523774
345672,31.0,3931.0,24129.0,0.6418091145221657,0.1026940445849806,0.1114132046990622,0.1167050902657609,0.0085745590665078,0.0048286599761314,0.0139753268853909,24129.0,0.0,0.6418091145221657,0.1026940445849806,0.1114132046990622,0.1167050902657609,0.0085745590665078,0.0048286599761314,0.0139753268853909
601014,26.0,3609.0,12949.0,0.6460455897565317,0.1062289328080521,0.1373771992699941,0.0636839342651902,0.0223584670485425,0.0053200254901647,0.0189858513615244,12948.999999999998,0.0,0.6460455897565317,0.1062289328080521,0.1373771992699941,0.0636839342651902,0.0223584670485425,0.0053200254901647,0.0189858513615244
358720,39.0,3783.0,1636.0,0.667651806920363,0.0672978949910225,0.1404147791580002,0.0693521674122902,0.0293534792556937,0.006849977642265,0.0190798946203654,1635.9999999999998,0.0,0.667651806920363,0.0672978949910225,0.1404147791580002,0.0693521674122902,0.0293534792556937,0.006849977642265,0.0190798946203654
275510,33.0,4712.0,8355.0,0.5444267335854612,0.1384111634752067,0.169810269822023,0.109751621648911,0.0113103808900222,0.01333286258843,0.0129569679899455,8355.0,0.0,0.5444267335854612,0.1384111634752067,0.169810269822023,0.109751621648911,0.0113103808900222,0.01333286258843,0.0129569679899455
557192,44.0,3619.0,1752.0,0.5839242126114691,0.1430213832054749,0.0805645540983166,0.1550674713179181,0.0155944668425583,0.0118435391672991,0.0099843727569638,1752.0,0.0,0.5839242126114691,0.1430213832054749,0.0805645540983166,0.1550674713179181,0.0155944668425583,0.0118435391672991,0.0099843727569638
229626,7.0,4351.0,9826.0,0.7107128772457147,0.0349770811158211,0.1269504531195101,0.0786737714172933,0.0208777606188944,0.0191046286971962,0.0087034277855699,9756.389074223764,69.61092577623488,0.715165303224997,0.0350896451332362,0.1263616753389393,0.0772314271666098,0.0203100691402939,0.0178695482924563,0.0079723317034672
36611,48.0,4899.0,5200.0,0.5987859264766573,0.0734254571092265,0.1693350352457293,0.0854334277570289,0.0323606090735749,0.0181666791836036,0.0224928651541793,5200.0,0.0,0.5987859264766573,0.0734254571092265,0.1693350352457293,0.0854334277570289,0.0323606090735749,0.0181666791836036,0.0224928651541793
