,"1 temperature, C","1 pressure, kPa","1 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,"3 temperature, C","3 pressure, kPa"
391655,23.999999999999943,3837.0,9028.0,0.7097231284821905,0.0538745667712198,0.0498081729057904,0.1257539777743132,0.0256609132635171,0.0189169063597097,0.016262334443259,1.9552027345930008,2428.0
584396,10.999999998782757,3813.0,6903.0,0.6233864033595353,0.1105506871622761,0.1524377250762894,0.0525873988304593,0.0343869603644001,0.0191452862017052,0.0075055390053344,-7.719788608210422,2318.0
539416,-8.0,4039.0,11868.580473917307,0.7807833218706663,0.106860448831447,0.0404570847098262,0.0386228593608546,0.0063593012880329,0.013299757505373,0.0136172264337997,-32.437541482626614,2261.0
581816,5.0,3625.0,21088.785167545466,0.6598850827132138,0.1680321033885731,0.0378168603143579,0.0862685689515313,0.0193713872679445,0.0136547695455098,0.0149712278188696,-16.655008523583774,2049.0
503861,-15.0,3801.0,9832.973947350289,0.7795635153612008,0.0412976642901126,0.1146029603933349,0.0532849977588656,0.0071459803466603,0.0012454883259991,0.0028593935238265,-29.40611785427604,2594.0
347821,28.99999999967133,4673.0,21866.0,0.6547216492070151,0.1141805032718657,0.1554022658637744,0.0397759751710725,0.0116587870446506,0.0179995256741131,0.0062612937675084,-7.92374869285527,2295.0
79885,6.0,4883.0,3703.0,0.7244136666167621,0.0567694875311356,0.1177843279591559,0.0619124300054497,0.017322302971309,0.0101172002320435,0.0116805846841441,-27.92751719589799,2031.0
491685,0.999999999802128,4563.0,7835.0,0.7348615714228315,0.1078890557147095,0.0818439900285989,0.0421422559474841,0.0088768126329688,0.0133538583281423,0.0110324559252647,-30.19937954508302,2170.0
499650,-18.0,4043.0,5715.430205899424,0.7756378583996891,0.0850367733513444,0.080814679909329,0.044206393669427,0.0087245688139554,0.0046744034424232,0.0009053224138316,-35.99758285251394,2543.0
168300,19.0,3998.0,2006.0,0.5682445901570018,0.1592206353124667,0.16975273981377,0.0459629926400882,0.0239870484894419,0.0167366003163856,0.0160953932708454,-4.2083224362830265,2270.0
591790,42.0,3663.0,16251.000000000002,0.6231202957360039,0.0806042545760997,0.15830652329029,0.0771010475041918,0.0265734077256214,0.0172055350514565,0.0170889361163364,19.38852423934821,2389.0
217277,-20.0,4051.0,13542.679527344775,0.7411869536365184,0.1333105594153016,0.087138867109739,0.0255024281318502,0.0067257042710866,0.0048167673639695,0.0013187200715348,-43.41264366893176,2196.0
186610,-15.0,4666.0,18311.8340655696,0.7742376533913455,0.0435016277098662,0.1399239248232819,0.0329160113161503,0.0034913506670161,0.0025576304748599,0.0033718016174799,-40.76370083514206,2333.0
542333,36.99999999994918,4356.0,10365.0,0.6504639663853993,0.1229331378047258,0.0297468030187253,0.1480120793373127,0.0138270897402913,0.014636399945188,0.0203805237683571,7.854261420985892,2541.0
504867,36.99999999996066,4326.0,2714.0,0.680183618998183,0.1326366026159708,0.0580293997079159,0.0768078244370527,0.0346595266212014,0.0093067411524783,0.0083762864671977,3.4322856034569327,2326.0
319147,45.99999999995589,4600.0,11623.0,0.6201136685034863,0.1289301288060041,0.0549848142459963,0.1259443809384997,0.0248362597053849,0.0241023592934689,0.0210883885071597,14.79641597628398,2586.0
